Country_Name,Country_Code,Year,gdp
Afghanistan,AFG,2001,117.4096908
Afghanistan,AFG,2002,187.845095
Afghanistan,AFG,2003,198.7285436
Afghanistan,AFG,2004,219.1413528
Afghanistan,AFG,2005,250.2941299
Afghanistan,AFG,2006,272.563077
Afghanistan,AFG,2007,369.835796
Afghanistan,AFG,2008,373.3611163
Albania,ALB,1996,1046.358511
Albania,ALB,1997,749.584649
Albania,ALB,1998,865.3021618
Albania,ALB,1999,1098.425463
Albania,ALB,2000,1175.788981
Albania,ALB,2001,1326.970339
Albania,ALB,2002,1453.642777
Albania,ALB,2003,1890.681557
Albania,ALB,2004,2416.588235
Albania,ALB,2005,2709.142931
Albania,ALB,2006,3005.012903
Albania,ALB,2007,3603.013685
Albania,ALB,2008,4370.539647
Algeria,DZA,1996,1596.029867
Algeria,DZA,1997,1612.009303
Algeria,DZA,1998,1588.481449
Algeria,DZA,1999,1581.004564
Algeria,DZA,2000,1757.017797
Algeria,DZA,2001,1732.857979
Algeria,DZA,2002,1774.033673
Algeria,DZA,2003,2094.335506
Algeria,DZA,2004,2598.908023
Algeria,DZA,2005,3100.122378
Algeria,DZA,2006,3464.610079
Algeria,DZA,2007,3935.183343
Algeria,DZA,2008,4905.254866
American Samoa,ASM,2002,8751.766529
American Samoa,ASM,2003,8914.525433
American Samoa,ASM,2004,8639.308855
American Samoa,ASM,2005,8508.406915
American Samoa,ASM,2006,8456.947997
American Samoa,ASM,2007,8980.536414
American Samoa,ASM,2008,9871.997194
Andorra,AND,1996,19017.17459
Andorra,AND,1997,18353.05972
Andorra,AND,1998,18894.5215
Andorra,AND,1999,19261.7105
Andorra,AND,2000,21936.5301
Andorra,AND,2001,22228.84649
Andorra,AND,2002,24741.49357
Andorra,AND,2003,32776.44227
Andorra,AND,2004,38503.47961
Andorra,AND,2005,41282.02012
Andorra,AND,2006,43748.77216
Andorra,AND,2007,48582.80846
Andorra,AND,2008,47785.65909
Angola,AGO,1996,512.6209659
Angola,AGO,1997,506.8849522
Angola,AGO,1998,415.6933459
Angola,AGO,1999,385.7688535
Angola,AGO,2000,555.2969419
Angola,AGO,2001,526.168743
Angola,AGO,2002,711.181716
Angola,AGO,2003,779.4683056
Angola,AGO,2004,1041.086844
Angola,AGO,2005,1443.991929
Angola,AGO,2006,2062.415149
Angola,AGO,2007,2878.837144
Angola,AGO,2008,3868.578883
Antigua and Barbuda,ATG,1996,8379.576739
Antigua and Barbuda,ATG,1997,8755.156499
Antigua and Barbuda,ATG,1998,9115.234532
Antigua and Barbuda,ATG,1999,9363.18664
Antigua and Barbuda,ATG,2000,9932.029681
Antigua and Barbuda,ATG,2001,9414.160591
Antigua and Barbuda,ATG,2002,9443.063591
Antigua and Barbuda,ATG,2003,9801.966935
Antigua and Barbuda,ATG,2004,10419.31113
Antigua and Barbuda,ATG,2005,11452.73878
Antigua and Barbuda,ATG,2006,12812.76444
Antigua and Barbuda,ATG,2007,14350.91889
Antigua and Barbuda,ATG,2008,14797.36842
Argentina,ARG,1996,7683.574065
